id,name,blurb, goal ,pledged,outcomes,country,currency,deadline,launched_at,staff_pick,backers_count,spotlight,Category and Subcategory,Percentage Funded,Average Donation,Parent Category,Subcategory,Date Created Conversion,Date Ended Conversion,Years
0,GIRLS STATE a new musical comedy TV project,"In this new TV show ""All Politics is Vocal"" as high school girls campaign, sing and cheer to be elected Governor of their summer camp.","$8,500.00 ","$11,633.00 ",successful,US,USD,1437620400,1434931811,FALSE,182,TRUE,film & video/television,137,63.92,film & video,television,6/22/2015,7/23/2015,2015
1,FannibalFest Fan Convention,A Hannibal TV Show Fan Convention and Art Collective,"$10,275.00 ","$14,653.00 ",successful,US,USD,1488464683,1485872683,FALSE,79,TRUE,film & video/television,143,185.48,film & video,television,1/31/2017,3/2/2017,2017
2,Charlie teaser completion,Completion fund for post-production for teaser of British crime/drama tv series about a girl who sells morals for money,$500.00 ,$525.00 ,successful,GB,GBP,1455555083,1454691083,FALSE,35,TRUE,film & video/television,105,15,film & video,television,2/5/2016,2/15/2016,2016
3,Unsure/Positive: A Dramedy Series About Life with HIV,We already produced the *very* beginning of this story. Help us to see it through?,"$10,000.00 ","$10,390.00 ",successful,US,USD,1407414107,1404822107,FALSE,150,TRUE,film & video/television,104,69.27,film & video,television,7/8/2014,8/7/2014,2014
4,Party Monsters,"19th century’s most notorious literary characters, out of step with the times, find comradery as roommates in modern day Los Angeles.","$44,000.00 ","$54,116.28 ",successful,US,USD,1450555279,1447963279,FALSE,284,TRUE,film & video/television,123,190.55,film & video,television,11/19/2015,12/19/2015,2015
5,Terry Matthews to be the NEXT star on the Network Television,"The BBQ Daddy will be Filming the 1st episode of the Next Hit series to come to Network Television ""Bailout My Cookout""","$3,999.00 ","$4,390.00 ",successful,US,USD,1469770500,1468362207,FALSE,47,TRUE,film & video/television,110,93.4,film & video,television,7/12/2016,7/29/2016,2016
6,POINT HOPE,"The story of ""Point Hope"" will honor, respect, and share the beauty and traditions of the Alaska Natives in Point Hope, AK: the Inupiat","$8,000.00 ","$8,519.00 ",successful,US,USD,1402710250,1401846250,FALSE,58,TRUE,film & video/television,106,146.88,film & video,television,6/4/2014,6/14/2014,2014
7,Skin: Film Production By 14 Year Old Aniya Wolfe,"Secrets bond three unfortunate teens who are facing issues that are common among youth today. And for one, it becomes too much to bear.","$9,000.00 ","$9,110.00 ",successful,US,USD,1467680867,1464224867,FALSE,57,TRUE,film & video/television,101,159.82,film & video,television,5/26/2016,7/5/2016,2016
8,Sizzling in the Kitchen Flynn Style,Help us raise the funds to film our pilot episode!,"$3,500.00 ","$3,501.52 ",successful,US,USD,1460754000,1460155212,FALSE,12,TRUE,film & video/television,100,291.79,film & video,television,4/8/2016,4/15/2016,2016
9,The Academy: Mockumentary Sitcom TV Pilot,"Capturing everyday life at Falkirk Academy, a fictitious elite private high school where ""everyday life"" is anything but normal.",$500.00 ,$629.99 ,successful,US,USD,1460860144,1458268144,FALSE,20,TRUE,film & video/television,126,31.5,film & video,television,3/18/2016,4/17/2016,2016
