Factor,Pct of Influence
backers_count,31.90%
pledged,23.62%
goal,16.08%
Average Donation,14.56%
deadline,4.41%
launched_at,3.69%
staff_pick,2.11%
Years,1.30%
country_GB,0.34%
currency_GBP,0.32%
country_US,0.31%
currency_USD,0.23%
currency_EUR,0.12%
country_DE,0.12%
country_NL,0.11%
country_CA,0.11%
currency_CAD,0.09%
country_AU,0.09%
currency_AUD,0.06%
currency_MXN,0.06%
country_IT,0.05%
country_MX,0.05%
country_ES,0.04%
country_IE,0.04%
country_NO,0.03%
currency_SEK,0.03%
country_FR,0.03%
country_DK,0.02%
country_SE,0.02%
currency_DKK,0.01%
currency_NOK,0.01%
country_AT,0.01%
currency_NZD,0.01%
country_LU,0.01%
country_CH,0.00%
country_NZ,0.00%
country_BE,0.00%
currency_CHF,0.00%
country_SG,0.00%
currency_SGD,0.00%
currency_HKD,0.00%
country_HK,0.00%
